Universidad,Link,Fecha
uniminutoradio,https://www.uniminutoradio.com.co/podcast-experiencias-de-pedagogia-para-la-paz-en-bogota/,9/11/2020
uniminutoradio,https://www.uniminutoradio.com.co/un-tema-aplicable-a-nuestra-realidad-sobre-la-paz/,3/11/2020
uniminutoradio,https://www.uniminutoradio.com.co/podcast-sembrando-paz/,1/06/2019
uniminutoradio,https://www.uniminutoradio.com.co/el-colibri-una-pesadilla-la-historia-del-conflicto-por-la-tierra-en-colombia/,18/09/2020
uniminutoradio,https://www.uniminutoradio.com.co/el-colibri-la-reintegracion-y-el-perdon-asuntos-fundamentales-en-la-busqueda-de-la-paz/,8/09/2020
uniminutoradio,https://www.uniminutoradio.com.co/el-colibri-la-esperanza-de-la-paz/,6/05/2020
uniminutoradio,https://www.uniminutoradio.com.co/podcast-el-rio-y-la-guerrillera/,1/11/2017
uniminutoradio,https://www.uniminutoradio.com.co/podcast-lagrimas-de-agua-dulce/,1/10/2017
uniminutoradio,https://www.uniminutoradio.com.co/como-hablar-de-los-recuerdos-de-la-guerra-con-los-ninos/,16/03/2020
uniminutoradio,https://www.uniminutoradio.com.co/podcast-masacres-en-colombia-volvio-la-guerra-al-pais/,1/09/2020
uniminutoradio,https://www.uniminutoradio.com.co/podcast-caso-uribe-fue-propicia-la-medida/,26/08/2020
uniminutoradio,https://www.uniminutoradio.com.co/lideres-sociales-la-otra-cara-de-la-contingencia-nacional/,29/04/2020
uniminutoradio,https://www.uniminutoradio.com.co/la-importancia-de-estar-frente-al-otro-la-historia-de-joshua-mitrotti/,18/05/2020
uniminutoradio,https://www.uniminutoradio.com.co/hacer-arte-para-la-paz-es-asumir-una-actitud-de-servicio-cesar-lopez-en-la-paz-se-cuenta/,11/05/2020
uniminutoradio,https://www.uniminutoradio.com.co/javier-naranjo-nos-invita-a-conocer-conversaciones-epistolares-entre-ninos-en-torno-a-la-paz/,13/04/2020
uniminutoradio,https://www.uniminutoradio.com.co/tejiendo-voces-sobre-las-victimas-y-el-proceso-de-paz-en-palabras-y-aji-jm/,3/03/2020
uniminutoradio,https://www.uniminutoradio.com.co/denuncias-sobre-lideres-sociales-en-dateate-radio/,13/11/2019
uniminutoradio,https://www.uniminutoradio.com.co/la-memoria-una-construccion-colectiva-para-la-paz/,21/08/2019
uniminutoradio,https://www.uniminutoradio.com.co/cantos-a-la-paz-desde-el-corazon-del-valle/,13/11/2019
uniminutoradio,https://www.uniminutoradio.com.co/paz-territorial-en-america-latina-utopia-o-realidad/,24/10/2019
uniminutoradio,https://www.uniminutoradio.com.co/que-hay-detras-del-asesinato-de-los-lideres-sociales-indigenas-del-cauca/,27/08/2019
uniminutoradio,https://www.uniminutoradio.com.co/reflexiones-de-una-guerra-sin-edad-reclutamiento-de-ninos-y-ninas-en-el-conflicto-armado-colombiano/,30/04/2019
uniminutoradio,https://www.uniminutoradio.com.co/la-construccion-de-paz-y-la-equidad-en-el-plan-nacional-de-desarrollo/,11/04/2019
unab,https://unabradio.com/del-conflicto-nacio-un-escritor/,10/11/2020
unab,https://unabradio.com/informe-especial-mujer-posconflicto-y-paz/,9/06/2018
bolivarianaMedellin,https://www.ivoox.com/contexto-podcast-t1-e7-desaparicion-desde-la-audios-mp3_rf_45567185_1.html,17/12/2019
universidadIbague,https://soundcloud.com/el-anzuelo-radio/diversa-mente-voces-de-familiares-victimas-de-violencia,1/10/2020
universidadIbague,https://soundcloud.com/el-anzuelo-radio/diversa-mente-2-de-julio-de-2020-resiliencia-y-construccion-de-paz,1/06/2020
universidadIbague,https://soundcloud.com/el-anzuelo-radio/sets/el-conflicto-y-sus-desplazados,1/01/2020
universidadIbague,https://soundcloud.com/el-anzuelo-radio/sets/reportaje-radiofonico-el,1/01/2020
universidadIbague,https://soundcloud.com/el-anzuelo-radio/titulo,1/01/2019
universidadIbague,https://soundcloud.com/el-anzuelo-radio/tertulia-al-aire-poesia-sobre-la-violencia-de-la-guerra,1/01/2019
universidadIbague,https://soundcloud.com/el-anzuelo-radio/reportaje-radial-recuerdos-de-una-memoria-toma-guerrillera-2002,1/01/2019
universidadIbague,https://soundcloud.com/el-anzuelo-radio/libro-de-arena-posconflicto,1/01/2019
udea,https://soundcloud.com/radiodelaurbe/sets/general-hable-ya,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/por-que-es-importante-para-las-victimas-saber-quien-dio-la-orden,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/que-expectativas-tienen-las-victimas-de-las-ejecuciones-extrajudiciales,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/que-medidas-debe-adoptar-la-jep-ante-el-silencio-de-mario-montoya,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/por-que-mario-montoya-quiso-acogerse-a-la-jep,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/le-exigimos-la-verdad,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/ese-es-un-sin-verguenza-no-quiere-aceptar-responsabilidades,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/cuantas-personas-mando-a-asesinarcuantas-personas-mando-a-desaparecer,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/las-falencias-de-la-jep,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/los-origenes-anticomunistas-de-mario-montoya,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/las-operaciones-de-mario-montoya-en-antioquia,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/denuncias-contra-mario-montoya-en-el-oriente-antioqueno,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/futuro-de-mario-montoya-en-la-jep,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/teniamos-muchas-expectativas-de-saber-la-verdad,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/las-ordenes-eran-claras,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/las-victimas-creen-que-mario-montoya-no-aportara-al-esclarecimiento,1/01/2020
udea,https://soundcloud.com/radiodelaurbe/nueva-direccion-del-cnmh-esta-en-riesgo-la-memoria-del-conflicto-armado-en-colombia,1/01/2019
udea,https://soundcloud.com/radiodelaurbe/sets/la-comunidad-de-paz-de-san-jose-de-apartado-21-anos-de-resistencia-construyendo-memoria,1/01/2019
udea,https://soundcloud.com/radiodelaurbe/personas-y-proyectos-que-ayudan-a-construir-memoria,1/01/2019
udea,https://soundcloud.com/radiodelaurbe/mangle-la-obra-que-plasmo-las-55-millones-de-victimas-del-conflicto-armado-en-el-pais,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/la-vida-de-un-desmovilizado-de-las-farc-y-las-auc,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/jep-justicia-verdad-o-mito,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/la-moe,1/01/2017
udea,https://soundcloud.com/radiodelaurbe/el-15-de-marzo-se-conmemora-el-dia-internacional-de-victimas-de-crimenes-de-estado,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/la-inagotable-b-squeda-de-la,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/la-inagotable-busqueda-de-la-paz,1/01/2016
udea,https://soundcloud.com/radiodelaurbe/hay-una-mentalidad-beligerante-que-busca-minar-los-acuerdos-de-paz-gregorio-enriquez,1/01/2019
udea,https://soundcloud.com/uninortefm/en-todos-cuetanconstruccion-de-paz-con-luz-romero-oct-12,1/01/2018
udea,https://soundcloud.com/radiodelaurbe/arte-como-terapia-las-victimas-del-conflicto-recuerdan-sin-dolor,1/01/2018
universidadManizales,https://soundcloud.com/umcentral-umfm/el-vespertino-investigaciones-al-conflicto-armado-y-comunidad-lgbtiq,1/11/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/el-vespertino-proyecto-memorias-de-las-victimas-consorcio-colombia-y-feria-ficma,1/11/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/conciencia-historica-del-conflicto-armado-y-procesos-de-construccion-de-paz,1/10/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/la-jep-ordeno-medidas-sobre-cementerios-de-caldas,1/10/2020
universidadManizales,https://soundcloud.com/umcentral-umfm/se-realiza-estrategia-para-ninos-victimas-del-conflicto-en-el-eje-cafetero,1/10/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-10-marzo-audios-mp3_rf_66626298_1.html,10/03/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-3-de-audios-mp3_rf_66294986_1.html,3/03/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-24-febrero-audios-mp3_rf_65932861_1.html,24/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-17-febrero-2021-audios-mp3_rf_65595772_1.html,17/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-10-de-audios-mp3_rf_65266420_1.html,10/02/2021
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-25-de-audios-mp3_rf_60944901_1.html,25/11/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-11-de-audios-mp3_rf_60271140_1.html,11/11/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-28-de-audios-mp3_rf_58635665_1.html,28/10/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-30-septiembre-audios-mp3_rf_57289826_1.html,30/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-16-septiembre-audios-mp3_rf_56627019_1.html,16/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-2-septiembre-audios-mp3_rf_56016878_1.html,2/09/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-26-de-audios-mp3_rf_55725457_1.html,26/08/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-29-julio-audios-mp3_rf_54560016_1.html,29/07/2020
bolivarianaBucaramanga,https://www.ivoox.com/voces-verdad-audios-mp3_rf_51878961_1.html,9/06/2020
bolivarianaBucaramanga,https://www.ivoox.com/nunca-mas-ninos-ninas-guerra-audios-mp3_rf_51695503_1.html,3/06/2020
bolivarianaBucaramanga,https://www.ivoox.com/voces-mujeres-personas-lgbti-audios-mp3_rf_51449988_1.html,26/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/enfoque-curso-vida-discapacidad-audios-mp3_rf_51190964_1.html,19/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-mayo-13-audios-mp3_rf_50997805_1.html,13/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-mayo-06-audios-mp3_rf_50781173_1.html,6/05/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-abril-29-audios-mp3_rf_50546161_1.html,29/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/conversaciones-lideres-juveniles-embajadores-audios-mp3_rf_50333363_1.html,23/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-abril-15-audios-mp3_rf_50049198_1.html,15/04/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-de-la-verdad-marzo-11-conversaciones-audios-mp3_rf_48806962_1.html,11/03/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-enfoque-curso-audios-mp3_rf_48501040_1.html,4/03/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-26-febrero-audios-mp3_rf_48250637_1.html,26/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-19-febrero-audios-mp3_rf_48190424_1.html,19/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/comision-verdad-12-de-audios-mp3_rf_47658922_1.html,12/02/2020
bolivarianaBucaramanga,ivoox.com/comision-verdad-5-de-audios-mp3_rf_47397614_1.html,5/02/2020
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-15-enero-audios-mp3_rf_45171609_1.html,15/01/2021
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-4-diciembre-audios-mp3_rf_45106719_1.html,4/12/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-27-noviembre-audios-mp3_rf_44848841_1.html,27/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-20-noviembre-audios-mp3_rf_44631994_1.html,20/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-13-noviembre-audios-mp3_rf_44326819_1.html,13/11/2019
bolivarianaBucaramanga,https://www.ivoox.com/firmes-paz-6-noviembre-audios-mp3_rf_44039322_1.html,6/11/2019
fundacionUniversitariaPopayan,https://soundcloud.com/ut-picos-usc/no-queremos-guerra-queremos-la,1/01/2014